Year,Player,Position,Team,Salary,Length of Contract,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_1,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
2012-2013,Serge Ibaka,Forward,Oklahoma City Thunder,"$12,350,000",4,23,80,80,31.1,5.6,9.7,0.573,0.3,0.7,0.351,5.3,9,0.591,1.8,2.4,0.749,2.8,4.9,7.7,0.5,0.4,3,1.6,2.7,13.2,2486,19.4,0.612,0.586,0.246,0.073,11.1,17,14.2,2.8,0.6,7.4,12.7,18.1,117,101,5.3,4.1,9.4,0.181
2009-2010,Kendrick Perkins,Center,Oklahoma City Thunder,"$6,696,720",5,25,78,78,27.6,4,6.7,0.602,0,0,0,4,6.7,0.605,2.1,3.6,0.582,2,5.6,7.6,1,0.3,1.7,2.1,2.8,10.1,2154,15,0.613,0.602,0.536,0.006,9.1,24.4,16.9,6,0.6,4.8,20.4,17.6,105,101,1.4,3.8,5.2,0.117
2009-2010,Thabo Sefolosha,Guard,Oklahoma City Thunder,"$3,250,000",4,25,82,82,28.6,2.4,5.4,0.44,0.5,1.6,0.313,1.9,3.8,0.494,0.7,1.1,0.674,0.9,3.8,4.7,1.8,1.2,0.6,1.1,1.9,6,2348,9.8,0.509,0.486,0.202,0.297,3.8,14.8,9.5,8.9,2.1,1.5,15.8,10.9,103,104,0.6,3.4,4,0.082
2010-2011,Nick Collison,Forward,Oklahoma City Thunder,"$3,272,997",4,30,63,0,20.7,1.9,3.2,0.597,0,0,0,1.9,3.2,0.6,0.7,1,0.71,1.9,2.5,4.3,1.3,0.5,0.4,1,2.4,4.5,1307,12.1,0.622,0.597,0.308,0.005,11.1,12.7,12,9.3,1.3,1.6,21.1,10,121,105,2.3,1.2,3.5,0.13
2011-2012,Hasheem Thabeet,Center,Oklahoma City Thunder,"$1,200,000",3,24,20,3,7,0.6,1.1,0.524,0,0,0,0.6,1.1,0.524,0.7,1,0.65,0.8,1.3,2.1,0,0.1,0.5,0.4,1,1.8,139,12.4,0.587,0.524,0.952,0,13.1,22.2,17.6,0,0.4,5.5,21.2,12.4,109,104,0.1,0.2,0.3,0.102
2012-2013,Derek Fisher,Guard,Oklahoma City Thunder,"$1,399,507",1,38,33,9,17.4,1.7,4.9,0.342,0.9,2.4,0.375,0.8,2.5,0.309,1.1,1.2,0.921,0.1,1.1,1.1,1.4,0.6,0.1,0.9,1.7,5.3,575,7.7,0.492,0.435,0.236,0.497,0.4,6.6,3.6,11.7,1.7,0.4,14.4,16.4,97,108,0,0.4,0.4,0.034
2011-2012,Ryan Gomes,Forward,Oklahoma City Thunder,"$1,186,459",1,29,32,2,13.3,1,3,0.326,0.1,0.9,0.138,0.8,2.1,0.409,0.3,0.3,0.727,0.4,1.5,1.9,0.4,0.5,0,0.5,1.1,2.3,425,4.4,0.371,0.347,0.116,0.305,3.9,13.3,8.5,4.1,2,0,13.1,12.5,81,107,-0.5,0.3,-0.2,-0.021
2012-2013,Ty Lawson,Guard,Denver Nuggets,"$10,786,517",4,25,73,71,34.4,6.1,13.3,0.461,1.2,3.2,0.366,5,10.1,0.491,3.2,4.3,0.756,0.5,2.2,2.7,6.9,1.5,0.1,2.5,1.8,16.7,2513,17.9,0.549,0.505,0.32,0.239,1.6,7.1,4.4,30.2,2.1,0.2,14.1,22.3,113,109,5.6,1.8,7.4,0.141
2011-2012,JaVale McGee,Center,Denver Nuggets,"$10,000,000",4,24,61,45,25.2,5,9,0.556,0,0,0,5,9,0.556,1.3,2.7,0.461,2.7,5.1,7.8,0.5,0.6,2.2,1.4,2.7,11.3,1535,19.9,0.552,0.556,0.303,0,12.1,23.3,17.7,3.5,1.2,6.6,12.2,20.7,106,101,1.9,2.2,4.1,0.127
2011-2012,Danilo Gallinari,Forward,Denver Nuggets,"$9,439,000",4,23,43,40,31.4,4.5,10.8,0.414,1.4,4.3,0.328,3.1,6.6,0.47,4.2,4.9,0.871,0.7,4,4.7,2.7,1,0.5,1.6,2,14.6,1351,16.5,0.563,0.479,0.448,0.393,2.5,14.6,8.7,13,1.6,1.3,10.9,20.7,114,107,2.9,1,3.9,0.14
2010-2011,Wilson Chandler,Forward,Denver Nuggets,"$5,516,664",5,23,72,49,33.3,6,13.2,0.45,1.6,4.4,0.35,4.4,8.8,0.501,1.8,2.2,0.807,1,4.6,5.7,1.7,0.7,1.3,1.4,2.8,15.3,2401,14.6,0.537,0.509,0.169,0.336,3.6,15.9,9.7,8.1,1,2.9,9.2,20.9,106,109,2.1,1.9,3.9,0.079
2012-2013,JJ Hickson,Center,Denver Nuggets,"$5,150,000",3,24,80,80,29,5.2,9.3,0.562,0,0,0,5.2,9.3,0.563,2.3,3.4,0.679,3.3,7,10.4,1.1,0.6,0.6,1.8,2,12.7,2323,19.7,0.591,0.562,0.36,0.003,13.2,28.5,20.7,6.6,1.1,1.7,14.4,19.9,113,106,4.6,2.3,6.9,0.142
2011-2012,Andre Miller,Guard,Denver Nuggets,"$5,000,000",3,35,66,7,27.4,3.7,8.4,0.438,0.3,1.3,0.217,3.4,7.1,0.478,2.1,2.6,0.811,0.8,2.5,3.3,6.7,1,0.1,2.7,2,9.7,1809,14.8,0.51,0.455,0.306,0.15,3.5,10.5,7.1,36.5,1.8,0.4,22,19.8,104,108,1.9,1,2.9,0.078
2012-2013,Timofey Mozgov,Center,Denver Nuggets,"$4,400,000",2,26,41,1,8.9,1.1,2.1,0.506,0,0,0,1.1,2.1,0.518,0.5,0.6,0.769,1.2,1.4,2.6,0.2,0.1,0.4,0.6,1.4,2.6,366,12.3,0.549,0.506,0.299,0.023,15.6,17.1,16.4,3.4,0.8,3.8,20.3,14.6,107,105,0.3,0.4,0.7,0.096
2010-2011,Darrell Arthur,Forward,Denver Nuggets,"$3,006,217",2,22,80,9,20.1,3.9,7.8,0.497,0,0.1,0,3.9,7.7,0.502,1.4,1.7,0.813,1.4,2.8,4.3,0.7,0.7,0.8,1.1,2.9,9.1,1609,15.7,0.534,0.497,0.215,0.01,8.5,17,12.7,5.4,1.7,3.2,11.4,21.6,106,104,1.5,2.2,3.8,0.113
2012-2013,Randy Foye,Guard,Denver Nuggets,"$3,000,000",3,29,82,72,27.4,3.6,9,0.397,2.2,5.3,0.41,1.4,3.7,0.378,1.4,1.8,0.819,0.2,1.3,1.5,2,0.8,0.3,1.1,2.3,10.8,2249,11.7,0.55,0.518,0.195,0.588,0.9,5.8,3.3,11.7,1.5,0.9,10.3,18.1,110,111,2.8,0.9,3.7,0.08
2012-2013,Nate Robinson,Guard,Denver Nuggets,"$2,016,000",2,28,82,23,25.4,4.9,11.2,0.433,1.7,4.2,0.405,3.1,7,0.45,1.6,2.1,0.799,0.4,1.9,2.2,4.4,1,0.1,1.8,2.5,13.1,2086,17.4,0.54,0.51,0.183,0.378,1.6,8.6,5.1,31.4,2.2,0.4,12.6,25.1,108,105,3.5,2.4,5.9,0.136
2011-2012,Anthony Randolph,Forward,Denver Nuggets,"$1,674,641",3,22,34,5,15.2,2.8,5.9,0.47,0,0,0,2.8,5.9,0.472,1.9,2.5,0.762,1.2,2.4,3.6,0.6,0.4,1,1.2,1.6,7.4,517,17.6,0.532,0.47,0.42,0.005,9,17.5,13.2,6.6,1.3,4.8,14.4,23.8,102,103,0.5,0.6,1.1,0.099
2011-2012,Kevin Love,Forward,Minnesota Timberwolves,"$13,668,750",4,23,55,55,39,8.6,19.3,0.448,1.9,5.1,0.372,6.7,14.1,0.475,6.9,8.4,0.824,4.1,9.2,13.3,2,0.9,0.5,2.3,2.8,26,2145,25.4,0.568,0.497,0.434,0.266,11.6,26.4,19,10,1.1,0.9,9.2,28.8,117,104,7.6,2.3,10,0.223
2012-2013,Nikola Pekovic,Center,Minnesota Timberwolves,"$12,100,000",5,27,62,62,31.6,6.2,12,0.52,0,0,0,6.2,12,0.52,3.9,5.2,0.744,3.7,5.1,8.8,0.9,0.7,0.8,1.6,2.3,16.3,1959,20.2,0.572,0.52,0.437,0,13,19,15.9,4.9,1.1,2,10.3,22.5,115,106,4.6,2.1,6.7,0.163
2012-2013,Kevin Martin,Guard,Minnesota Timberwolves,"$6,550,000",4,29,77,0,27.7,4.5,10.1,0.45,2.1,4.8,0.426,2.5,5.3,0.472,2.8,3.2,0.89,0.4,1.9,2.3,1.4,0.9,0.1,1.3,1.8,14,2136,16,0.608,0.551,0.316,0.477,1.8,7.4,4.8,7.9,1.7,0.3,10.2,21,117,107,5,2,7,0.157
2012-2013,Chase Budinger,Forward,Minnesota Timberwolves,"$5,000,000",3,24,23,1,22.1,3.4,8.3,0.414,1.1,3.5,0.321,2.3,4.8,0.482,1.4,1.8,0.762,0.7,2.4,3.1,1.1,0.6,0.3,1,1.3,9.4,508,12.6,0.516,0.482,0.22,0.424,3.3,13,8,8.3,1.4,1.1,9.9,20.5,102,107,0.3,0.4,0.7,0.066
2010-2011,JJ Barea,Guard,Minnesota Timberwolves,"$4,300,000",4,26,81,2,20.6,3.5,8,0.439,0.8,2.3,0.349,2.7,5.7,0.476,1.6,1.9,0.847,0.4,1.6,2,3.9,0.4,0,1.7,1.7,9.5,1669,14.8,0.535,0.49,0.242,0.291,2.1,8.8,5.6,31.2,0.9,0,15.9,23.9,106,109,1.9,1.4,3.2,0.093
2010-2011,Luc Richard Mbah a Moute,Forward,Minnesota Timberwolves,"$4,573,519",4,24,79,52,26.5,2.5,5.4,0.463,0,0.1,0,2.5,5.3,0.47,1.7,2.4,0.707,2.1,3.2,5.3,0.9,0.9,0.4,1,2.3,6.7,2093,11.5,0.518,0.463,0.439,0.016,9.2,14.3,11.7,5.3,1.8,1.1,13.1,13.1,107,103,1.5,3.3,4.8,0.109
2012-2013,Corey Brewer,Forward,Minnesota Timberwolves,"$4,500,000",3,26,82,2,24.4,4.6,10.8,0.425,1.1,3.7,0.296,3.5,7,0.493,1.8,2.6,0.69,0.7,2.2,2.9,1.5,1.4,0.3,1.2,1.9,12.1,2003,14.7,0.506,0.476,0.245,0.348,3.1,9.9,6.6,9.5,3,0.9,9.4,23.4,104,105,1.7,2.2,3.9,0.093
2010-2011,Dante Cunningham,Forward,Minnesota Timberwolves,"$2,000,000",3,23,78,18,21,2.8,6.1,0.462,0,0.2,0.077,2.8,5.9,0.473,0.6,0.8,0.726,1.2,2.3,3.6,0.6,0.7,0.6,0.7,2.3,6.2,1637,10.7,0.483,0.463,0.131,0.028,6.9,13.9,10.3,4.3,1.8,2.2,9.3,15.7,101,107,0.3,1.7,2,0.06
2012-2013,Ronny Turiaf,Center,Minnesota Timberwolves,"$1,500,000",2,30,65,0,10.8,0.8,1.5,0.505,0,0,0,0.8,1.5,0.505,0.4,1,0.365,0.7,1.6,2.3,0.5,0.3,0.5,0.4,1.2,1.9,701,9.4,0.485,0.505,0.649,0,7.8,17.9,12.9,6.8,1.4,4.2,18.9,10,99,103,0.1,1,1.1,0.075
2012-2013,A.J. Price,Guard,Minnesota Timberwolves,"$947,907",1,26,57,22,22.4,2.8,7.2,0.39,1.2,3.5,0.35,1.6,3.7,0.427,0.9,1.1,0.79,0.4,1.6,2,3.6,0.6,0.1,1.1,1.3,7.7,1278,12.4,0.501,0.475,0.15,0.484,1.7,8.2,4.9,26.4,1.3,0.2,12.7,18,105,107,1,1.2,2.2,0.084
2009-2010,Richard Jefferson,Forward,Utah Jazz,"$8,400,000",4,29,81,70,31.1,4.5,9.6,0.467,0.7,2.3,0.316,3.7,7.3,0.515,2.6,3.5,0.735,0.7,3.7,4.4,2,0.6,0.5,1.3,2.2,12.3,2520,13.1,0.551,0.505,0.37,0.241,2.7,13.6,8.3,9.6,0.9,1.1,10.4,18.3,110,106,3,3,6,0.113
2007-2008,Andris Biedrins,Center,Utah Jazz,"$9,000,000",6,21,76,59,27.3,4.5,7.1,0.626,0,0,0,4.5,7.1,0.626,1.5,2.5,0.62,3.4,6.4,9.8,1,0.7,1.2,1.1,3.4,10.5,2078,19.2,0.637,0.626,0.344,0,12.7,26.2,19.1,5.2,1.3,3.3,12,14.4,127,106,5.4,2.6,8,0.185
2008-2009,Marvin Williams,Forward,Utah Jazz,"$7,500,000",5,22,61,59,34.3,4.7,10.2,0.458,0.9,2.5,0.355,3.8,7.7,0.493,3.6,4.5,0.806,1.8,4.5,6.3,1.3,0.9,0.6,1.1,2.1,13.9,2093,16,0.569,0.502,0.439,0.249,6.2,15.2,10.7,6.3,1.5,1.4,8.6,18.2,117,108,3.9,2.2,6.1,0.14
2011-2012,Brandon Rush,Forward,Utah Jazz,"$4,000,000",2,26,65,1,26.4,3.6,7.2,0.501,1.5,3.4,0.452,2.1,3.8,0.544,1,1.3,0.793,0.5,3.4,3.9,1.4,0.5,0.9,1,1,9.8,1717,15.2,0.628,0.607,0.175,0.467,2.2,14.4,8.3,7.9,1.1,2.6,11.9,15.4,115,110,2.9,0.6,3.5,0.099
2011-2012,Jeremy Evans,Forward,Utah Jazz,"$1,794,872",3,24,29,0,7.5,0.9,1.4,0.643,0,0,0,0.9,1.4,0.659,0.3,0.6,0.5,0.7,1.1,1.7,0.4,0.2,0.8,0.2,0.8,2.1,217,19.6,0.632,0.643,0.381,0.024,9.9,16.6,13.2,9.1,1.5,8.8,9.3,11.2,131,101,0.6,0.3,0.9,0.193
2012-2013,John Lucas,Guard,Utah Jazz,"$1,600,000",1,30,63,0,13.1,2,5.3,0.386,0.9,2.4,0.377,1.1,2.9,0.393,0.3,0.4,0.72,0.1,0.9,1,1.7,0.4,0,0.4,0.8,5.3,827,12.8,0.483,0.472,0.075,0.452,1.1,8.3,4.7,21.5,1.5,0.1,7,20.8,104,111,0.7,0.3,1.1,0.061
2012-2013,Mike Harris,Forward,Utah Jazz,"$916,099",1,27,4,0,4,0.8,1.5,0.5,0,0,0,0.8,1.5,0.5,0.5,1,0.5,0.5,0.8,1.3,0.3,0,0.3,0.3,0.5,2,16,17.9,0.515,0.5,0.667,0,14.1,21.3,17.7,10.2,0,4.3,11.4,24.2,107,108,0,0,0,0.102
2011-2012,Roy Hibbert,Center,Indiana Pacers,"$13,668,750",4,25,65,65,29.8,5.1,10.3,0.497,0,0,0,5.1,10.3,0.498,2.6,3.7,0.711,3.3,5.5,8.8,1.7,0.5,2,2,3,12.8,1937,19.3,0.539,0.497,0.358,0.001,12.5,20.7,16.6,9.9,0.9,5.2,14.2,21.1,109,101,3.2,3,6.2,0.154
2008-2009,Danny Granger,Forward,Indiana Pacers,"$9,930,500",5,25,67,66,36.2,8.5,19.1,0.447,2.7,6.7,0.404,5.8,12.3,0.47,6,6.9,0.878,0.7,4.4,5.1,2.7,1,1.4,2.5,3.1,25.8,2424,21.8,0.584,0.518,0.36,0.352,2.2,13.4,7.7,13.1,1.4,3,10,29.6,114,109,5.6,2.4,8,0.158
2012-2013,David West,Forward,Indiana Pacers,"$12,000,000",3,32,73,73,33.4,6.9,13.8,0.498,0.1,0.3,0.211,6.8,13.6,0.503,3.3,4.3,0.768,2,5.7,7.7,2.9,1,0.9,2.2,2,17.1,2435,20.1,0.545,0.5,0.312,0.019,6.8,18.8,12.9,16.8,1.6,2.1,12,24.4,110,99,4.4,4.7,9.1,0.179
2011-2012,George Hill,Guard,Indiana Pacers,"$8,000,000",5,25,50,9,25.5,3.4,7.6,0.442,1.1,2.9,0.367,2.3,4.7,0.489,1.8,2.3,0.778,0.6,2.4,3,2.9,0.8,0.3,1,2,9.6,1274,15.7,0.557,0.513,0.308,0.387,2.8,10.5,6.7,18.8,1.7,1.1,10.8,17.2,117,105,2.8,1.3,4,0.152
2011-2012,Luis Scola,Forward,Indiana Pacers,"$4,148,510",3,31,66,66,31.3,6.6,13.5,0.491,0,0,0,6.6,13.4,0.493,2.3,3,0.773,1.8,4.6,6.5,2.1,0.5,0.4,2.3,3.2,15.5,2067,15.4,0.526,0.491,0.223,0.003,6.8,17.3,12,12,0.9,0.9,13.6,24.8,102,107,1.8,1.6,3.4,0.08
2011-2012,Ian Mahinmi,Center,Indiana Pacers,"$4,000,000",4,25,61,12,18.7,2.1,3.9,0.546,0,0,0,2.1,3.9,0.549,1.5,2.4,0.639,1.8,3,4.7,0.2,0.6,0.5,0.8,2.9,5.8,1139,13.5,0.585,0.546,0.618,0.004,10.7,17.7,14.3,1.7,1.8,2.2,14.2,14.4,113,101,1.7,1.7,3.4,0.144
2012-2013,Chris Copeland,Forward,Indiana Pacers,"$3,000,000",2,28,56,13,15.4,3.3,6.8,0.479,1.1,2.5,0.421,2.2,4.3,0.513,1.1,1.5,0.759,0.6,1.5,2.1,0.5,0.3,0.2,0.9,1.9,8.7,862,16.8,0.583,0.557,0.218,0.368,4.5,11.9,8.1,5.7,1,1.2,10.7,25.3,110,109,1.5,0.6,2.1,0.117
2012-2013,C.J. Watson,Guard,Indiana Pacers,"$2,016,000",2,28,80,8,19,2.4,5.7,0.418,1.1,2.7,0.411,1.3,3.1,0.424,0.9,1.1,0.78,0.5,1.3,1.8,2,0.8,0.2,0.9,1.5,6.8,1521,13.9,0.544,0.514,0.198,0.466,2.9,8.4,5.6,17.2,2.3,0.6,12.1,17.2,113,107,2.5,1.3,3.8,0.12
2012-2013,Donald Sloan,Guard,Indiana Pacers,"$884,293",2,25,23,0,11.4,1.2,3.4,0.346,0.3,0.8,0.368,0.9,2.6,0.339,0.9,1.1,0.8,0.1,1.1,1.2,1.7,0.2,0,0.6,0.7,3.5,263,9.6,0.455,0.391,0.321,0.244,1.3,11.5,6.2,22,1,0,13.6,17.5,99,113,0,0,0.1,0.017
2012-2013,Josh Smith,Forward,Detroit Pistons,"$13,500,000",4,27,76,76,35.3,7.2,15.6,0.465,0.8,2.6,0.303,6.4,12.9,0.498,2.2,4.2,0.517,1.8,6.7,8.4,4.2,1.2,1.8,3,2.3,17.5,2683,17.7,0.501,0.491,0.272,0.17,5.8,21.3,13.6,20.9,1.8,3.9,14.6,26.7,97,101,-0.3,4.5,4.2,0.075
2008-2009,Charlie Villanueva,Forward,Detroit Pistons,"$6,500,000",5,24,78,47,26.9,6.2,14,0.447,1.1,3.3,0.345,5.1,10.7,0.479,2.6,3.1,0.838,2,4.7,6.7,1.8,0.6,0.7,1.8,3.3,16.2,2095,18.6,0.529,0.488,0.22,0.237,8.3,21.6,14.7,12.4,1.2,2.2,10.4,28.5,106,106,2.2,2.7,4.9,0.112
2010-2011,Rodney Stuckey,Guard,Detroit Pistons,"$8,500,000",3,24,70,54,31.2,5.2,11.8,0.439,0.4,1.3,0.289,4.8,10.5,0.457,4.7,5.4,0.866,1,2.1,3.1,5.2,1.1,0.1,2.2,2.5,15.5,2183,18.4,0.544,0.455,0.461,0.109,3.7,8.6,6,27.5,1.9,0.4,13.5,24.5,112,114,4.4,0.6,5,0.111
2012-2013,Brandon Jennings,Guard,Detroit Pistons,"$7,655,503",3,22,66,66,35.3,7.1,17,0.418,2,5.9,0.332,5.2,11.1,0.464,2.9,3.6,0.808,0.7,2.7,3.4,5.5,1.6,0.3,2.2,1.7,19.1,2331,18.4,0.514,0.476,0.213,0.346,2.3,8.6,5.3,26.7,2.3,0.7,10.6,25.9,106,107,3.8,1.8,5.5,0.114
2009-2010,Jonas Jerebko,Forward,Detroit Pistons,"$4,500,000",4,22,80,73,27.9,3.6,7.5,0.481,0.5,1.4,0.313,3.2,6.1,0.52,1.6,2.2,0.71,2.4,3.6,6,0.7,1,0.4,1,2.9,9.3,2232,13.9,0.545,0.511,0.292,0.191,9.9,16.5,13,4.2,1.9,1.1,10.8,15.7,113,111,2.9,1.5,4.4,0.095
2012-2013,Will Bynum,Guard,Detroit Pistons,"$2,790,343",2,30,65,0,18.8,3.9,8.3,0.469,0.4,1.2,0.316,3.5,7.1,0.494,1.6,2,0.809,0.4,1.1,1.5,3.6,0.7,0.1,1.9,2,9.8,1219,16.6,0.532,0.491,0.243,0.141,2.6,6.6,4.6,34.8,2,0.3,17.3,27,103,111,1.2,0.5,1.7,0.067
2012-2013,Chauncey Billups,Guard,Detroit Pistons,"$2,500,000",1,36,22,22,19,2.4,6,0.402,1.5,4.1,0.367,0.9,1.9,0.476,2,2.2,0.938,0.1,1.4,1.5,2.2,0.5,0,1.2,1.1,8.4,418,15,0.601,0.527,0.364,0.682,0.6,8.4,4.6,17.4,1.5,0.2,14.5,19.6,117,108,1,0.3,1.3,0.146
2012-2013,Josh Harrellson,Center,Detroit Pistons,"$884,293",2,23,6,0,5.2,0.7,1.5,0.444,0.2,0.8,0.2,0.5,0.7,0.75,0.2,0.3,0.5,0.5,0.7,1.2,0,0.2,0.2,0.5,0.7,1.7,31,8.5,0.506,0.5,0.222,0.556,12.6,15,13.9,0,1.7,2.6,23.3,19.9,87,104,0,0,0,0.002
2011-2012,Derrick Rose,Guard,Chicago Bulls,"$16,402,552",5,23,39,39,35.3,7.7,17.8,0.435,1.4,4.4,0.312,6.4,13.4,0.475,5,6.1,0.812,0.7,2.7,3.4,7.9,0.9,0.7,3.1,1.3,21.8,1375,23,0.532,0.473,0.344,0.249,2.1,8.4,5.3,40.3,1.4,1.4,12.9,30.5,112,101,4.1,2,6,0.211
2009-2010,Carlos Boozer,Forward,Chicago Bulls,"$14,400,000",5,28,78,78,34.3,7.9,14.1,0.562,0,0,0,7.9,14.1,0.562,3.7,4.9,0.742,2.3,8.9,11.2,3.2,1.1,0.5,2.7,3.5,19.5,1948,19.7,0.549,0.532,0.163,0.001,6.7,25.3,16.1,11.8,1.7,0.9,11.3,23.8,108,95,3.3,4.3,7.6,0.187
